player,player_id,team,season,lg,replaced
Bam Adebayo,adebaba01,East,2024,NBA,FALSE
Giannis Antetokounmpo,antetgi01,East,2024,NBA,FALSE
Paolo Banchero,banchpa01,East,2024,NBA,FALSE
Scottie Barnes,barnesc01,East,2024,NBA,FALSE
Jaylen Brown,brownja02,East,2024,NBA,FALSE
Jalen Brunson,brunsja01,East,2024,NBA,FALSE
Joel Embiid,embiijo01,East,2024,NBA,TRUE
Tyrese Haliburton,halibty01,East,2024,NBA,FALSE
Damian Lillard,lillada01,East,2024,NBA,FALSE
Tyrese Maxey,maxeyty01,East,2024,NBA,FALSE
Donovan Mitchell,mitchdo01,East,2024,NBA,FALSE
Julius Randle,randlju01,East,2024,NBA,TRUE
Jayson Tatum,tatumja01,East,2024,NBA,FALSE
Trae Young,youngtr01,East,2024,NBA,FALSE
Devin Booker,bookede01,West,2024,NBA,FALSE
Stephen Curry,curryst01,West,2024,NBA,FALSE
Anthony Davis,davisan02,West,2024,NBA,FALSE
Luka Dončić,doncilu01,West,2024,NBA,FALSE
Kevin Durant,duranke01,West,2024,NBA,FALSE
Anthony Edwards,edwaran01,West,2024,NBA,FALSE
Paul George,georgpa01,West,2024,NBA,FALSE
Shai Gilgeous-Alexander,gilgesh01,West,2024,NBA,FALSE
LeBron James,jamesle01,West,2024,NBA,FALSE
Nikola Jokić,jokicni01,West,2024,NBA,FALSE
Kawhi Leonard,leonaka01,West,2024,NBA,FALSE
Karl-Anthony Towns,townska01,West,2024,NBA,FALSE
Bam Adebayo,adebaba01,Giannis,2023,NBA,FALSE
Giannis Antetokounmpo,antetgi01,Giannis,2023,NBA,FALSE
DeMar DeRozan,derozde01,Giannis,2023,NBA,FALSE
Kevin Durant,duranke01,Giannis,2023,NBA,TRUE
Shai Gilgeous-Alexander,gilgesh01,Giannis,2023,NBA,FALSE
Jrue Holiday,holidjr01,Giannis,2023,NBA,FALSE
Damian Lillard,lillada01,Giannis,2023,NBA,FALSE
Lauri Markkanen,markkla01,Giannis,2023,NBA,FALSE
Donovan Mitchell,mitchdo01,Giannis,2023,NBA,FALSE
Ja Morant,moranja01,Giannis,2023,NBA,FALSE
Domantas Sabonis,sabondo01,Giannis,2023,NBA,FALSE
Pascal Siakam,siakapa01,Giannis,2023,NBA,FALSE
Jayson Tatum,tatumja01,Giannis,2023,NBA,FALSE
Jaylen Brown,brownja02,LeBron,2023,NBA,FALSE
Stephen Curry,curryst01,LeBron,2023,NBA,TRUE
Luka Dončić,doncilu01,LeBron,2023,NBA,FALSE
Anthony Edwards,edwaran01,LeBron,2023,NBA,FALSE
Joel Embiid,embiijo01,LeBron,2023,NBA,FALSE
De'Aaron Fox,foxde01,LeBron,2023,NBA,FALSE
Paul George,georgpa01,LeBron,2023,NBA,FALSE
Tyrese Haliburton,halibty01,LeBron,2023,NBA,FALSE
Kyrie Irving,irvinky01,LeBron,2023,NBA,FALSE
Jaren Jackson Jr.,jacksja02,LeBron,2023,NBA,FALSE
LeBron James,jamesle01,LeBron,2023,NBA,FALSE
Nikola Jokić,jokicni01,LeBron,2023,NBA,FALSE
Julius Randle,randlju01,LeBron,2023,NBA,FALSE
Zion Williamson,willizi01,LeBron,2023,NBA,TRUE
LaMelo Ball,ballla01,Team Durant,2022,NBA,FALSE
Devin Booker,bookede01,Team Durant,2022,NBA,FALSE
Kevin Durant,duranke01,Team Durant,2022,NBA,TRUE
Joel Embiid,embiijo01,Team Durant,2022,NBA,FALSE
Rudy Gobert,goberru01,Team Durant,2022,NBA,FALSE
Draymond Green,greendr01,Team Durant,2022,NBA,TRUE
Zach LaVine,lavinza01,Team Durant,2022,NBA,FALSE
Khris Middleton,middlkh01,Team Durant,2022,NBA,FALSE
Ja Morant,moranja01,Team Durant,2022,NBA,FALSE
Dejounte Murray,murrade01,Team Durant,2022,NBA,FALSE
Jayson Tatum,tatumja01,Team Durant,2022,NBA,FALSE
Karl-Anthony Towns,townska01,Team Durant,2022,NBA,FALSE
Andrew Wiggins,wiggian01,Team Durant,2022,NBA,FALSE
Trae Young,youngtr01,Team Durant,2022,NBA,FALSE
Jarrett Allen,allenja01,Team LeBron,2022,NBA,FALSE
Giannis Antetokounmpo,antetgi01,Team LeBron,2022,NBA,FALSE
Jimmy Butler,butleji01,Team LeBron,2022,NBA,FALSE
Stephen Curry,curryst01,Team LeBron,2022,NBA,FALSE
DeMar DeRozan,derozde01,Team LeBron,2022,NBA,FALSE
Luka Dončić,doncilu01,Team LeBron,2022,NBA,FALSE
Darius Garland,garlada01,Team LeBron,2022,NBA,FALSE
James Harden,hardeja01,Team LeBron,2022,NBA,TRUE
LeBron James,jamesle01,Team LeBron,2022,NBA,FALSE
Nikola Jokić,jokicni01,Team LeBron,2022,NBA,FALSE
Donovan Mitchell,mitchdo01,Team LeBron,2022,NBA,TRUE
Chris Paul,paulch01,Team LeBron,2022,NBA,FALSE
Fred VanVleet,vanvlfr01,Team LeBron,2022,NBA,FALSE
Bradley Beal,bealbr01,Team Durant,2021,NBA,FALSE
Devin Booker,bookede01,Team Durant,2021,NBA,TRUE
Mike Conley,conlemi01,Team Durant,2021,NBA,FALSE
Anthony Davis,davisan02,Team Durant,2021,NBA,TRUE
Kevin Durant,duranke01,Team Durant,2021,NBA,TRUE
Joel Embiid,embiijo01,Team Durant,2021,NBA,TRUE
James Harden,hardeja01,Team Durant,2021,NBA,FALSE
Kyrie Irving,irvinky01,Team Durant,2021,NBA,FALSE
Zach LaVine,lavinza01,Team Durant,2021,NBA,FALSE
Kawhi Leonard,leonaka01,Team Durant,2021,NBA,FALSE
Donovan Mitchell,mitchdo01,Team Durant,2021,NBA,FALSE
Julius Randle,randlju01,Team Durant,2021,NBA,FALSE
Jayson Tatum,tatumja01,Team Durant,2021,NBA,FALSE
Nikola Vučević,vucevni01,Team Durant,2021,NBA,FALSE
Zion Williamson,willizi01,Team Durant,2021,NBA,FALSE
Giannis Antetokounmpo,antetgi01,Team LeBron,2021,NBA,FALSE
Jaylen Brown,brownja02,Team LeBron,2021,NBA,FALSE
Stephen Curry,curryst01,Team LeBron,2021,NBA,FALSE
Luka Dončić,doncilu01,Team LeBron,2021,NBA,FALSE
Paul George,georgpa01,Team LeBron,2021,NBA,FALSE
Rudy Gobert,goberru01,Team LeBron,2021,NBA,FALSE
LeBron James,jamesle01,Team LeBron,2021,NBA,FALSE
Nikola Jokić,jokicni01,Team LeBron,2021,NBA,FALSE
Damian Lillard,lillada01,Team LeBron,2021,NBA,FALSE
Chris Paul,paulch01,Team LeBron,2021,NBA,FALSE
Domantas Sabonis,sabondo01,Team LeBron,2021,NBA,FALSE
Ben Simmons,simmobe01,Team LeBron,2021,NBA,TRUE
Bam Adebayo,adebaba01,Team Giannis,2020,NBA,FALSE
Giannis Antetokounmpo,antetgi01,Team Giannis,2020,NBA,FALSE
Jimmy Butler,butleji01,Team Giannis,2020,NBA,FALSE
Joel Embiid,embiijo01,Team Giannis,2020,NBA,FALSE
Rudy Gobert,goberru01,Team Giannis,2020,NBA,FALSE
Brandon Ingram,ingrabr01,Team Giannis,2020,NBA,FALSE
Kyle Lowry,lowryky01,Team Giannis,2020,NBA,FALSE
Khris Middleton,middlkh01,Team Giannis,2020,NBA,FALSE
Donovan Mitchell,mitchdo01,Team Giannis,2020,NBA,FALSE
Pascal Siakam,siakapa01,Team Giannis,2020,NBA,FALSE
Kemba Walker,walkeke02,Team Giannis,2020,NBA,FALSE
Trae Young,youngtr01,Team Giannis,2020,NBA,FALSE
Devin Booker,bookede01,Team LeBron,2020,NBA,FALSE
Anthony Davis,davisan02,Team LeBron,2020,NBA,FALSE
Luka Dončić,doncilu01,Team LeBron,2020,NBA,FALSE
James Harden,hardeja01,Team LeBron,2020,NBA,FALSE
LeBron James,jamesle01,Team LeBron,2020,NBA,FALSE
Nikola Jokić,jokicni01,Team LeBron,2020,NBA,FALSE
Kawhi Leonard,leonaka01,Team LeBron,2020,NBA,FALSE
Damian Lillard,lillada01,Team LeBron,2020,NBA,TRUE
Chris Paul,paulch01,Team LeBron,2020,NBA,FALSE
Domantas Sabonis,sabondo01,Team LeBron,2020,NBA,FALSE
Ben Simmons,simmobe01,Team LeBron,2020,NBA,FALSE
Jayson Tatum,tatumja01,Team LeBron,2020,NBA,FALSE
Russell Westbrook,westbru01,Team LeBron,2020,NBA,FALSE
Giannis Antetokounmpo,antetgi01,Team Giannis,2019,NBA,FALSE
