season,lg,overall_pick,round,tm,player,player_id,college
2024,NBA,1,1,ATL,Zaccharie Risacher,risacza01,NA
2024,NBA,2,1,WAS,Alex Sarr,sarral01,NA
2024,NBA,3,1,HOU,Reed Sheppard,sheppre01,Kentucky
2024,NBA,4,1,SAS,Stephon Castle,castlst01,UConn
2024,NBA,5,1,DET,Ron Holland,hollaro01,NA
2024,NBA,6,1,CHO,Tidjane Salaün,salauti01,NA
2024,NBA,7,1,POR,Donovan Clingan,clingdo01,UConn
2024,NBA,8,1,SAS,Rob Dillingham,dilliro01,Kentucky
2024,NBA,9,1,MEM,Zach Edey,edeyza01,Purdue
2024,NBA,10,1,UTA,Cody Williams,willico04,Colorado
2024,NBA,11,1,CHI,Matas Buzelis,buzelma01,NA
2024,NBA,12,1,OKC,Nikola Topić,topicni01,NA
2024,NBA,13,1,SAC,Devin Carter,cartede02,Providence
2024,NBA,14,1,POR,Bub Carrington,carrica01,Pitt
2024,NBA,15,1,MIA,Kel'el Ware,wareke01,Indiana
2024,NBA,16,1,PHI,Jared McCain,mccaija01,Duke
2024,NBA,17,1,LAL,Dalton Knecht,knechda01,Tennessee
2024,NBA,18,1,ORL,Tristan Da Silva,dasiltr01,Colorado
2024,NBA,19,1,TOR,Ja'Kobe Walter,walteja01,Baylor
2024,NBA,20,1,CLE,Jaylon Tyson,tysonja01,California
2024,NBA,21,1,NOP,Yves Missi,missiyv01,Baylor
2024,NBA,22,1,PHO,DaRon Holmes,holmeda01,Dayton
2024,NBA,23,1,MIL,AJ Johnson,johnsaj01,NA
2024,NBA,24,1,NYK,Kyshawn George,georgky01,Miami (FL)
2024,NBA,25,1,NYK,Pacome Dadiet,dadiepa01,NA
2024,NBA,26,1,WAS,Dillon Jones,jonesdi01,Weber State
2024,NBA,27,1,MIN,Terrence Shannon Jr.,shannte01,Illinois
2024,NBA,28,1,DEN,Ryan Dunn,dunnry01,Virginia
2024,NBA,29,1,UTA,Isaiah Collier,colliis01,USC
2024,NBA,30,1,BOS,Baylor Scheierman,scheiba01,Creighton
2024,NBA,31,2,TOR,Jonathan Mogbo,mogbojo01,San Francisco
