season,lg,type,number_tm,position,player,player_id,age,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm
2024,nba,all_nba,1T,G,Shai Gilgeous-Alexander,gilgesh01,25,495,495,1,99,0,0
2024,nba,all_nba,1T,C,Nikola Jokić,jokicni01,28,495,495,1,99,0,0
2024,nba,all_nba,1T,G,Luka Dončić,doncilu01,24,493,495,0.996,98,1,0
2024,nba,all_nba,1T,F,Giannis Antetokounmpo,antetgi01,29,473,495,0.956,88,11,0
2024,nba,all_nba,1T,F,Jayson Tatum,tatumja01,25,427,495,0.863,65,34,0
2024,nba,all_nba,2T,G,Jalen Brunson,brunsja01,27,368,495,0.743,37,61,0
2024,nba,all_nba,2T,G,Anthony Edwards,edwaran01,22,285,495,0.576,3,87,9
2024,nba,all_nba,2T,F,Kevin Durant,duranke01,35,274,495,0.554,2,85,9
2024,nba,all_nba,2T,F,Kawhi Leonard,leonaka01,32,242,495,0.489,1,72,21
2024,nba,all_nba,2T,C,Anthony Davis,davisan02,30,230,495,0.465,1,65,30
2024,nba,all_nba,3T,F,LeBron James,jamesle01,39,164,495,0.331,1,32,63
2024,nba,all_nba,3T,G,Stephen Curry,curryst01,35,117,495,0.236,0,13,78
2024,nba,all_nba,3T,F,Domantas Sabonis,sabondo01,27,104,495,0.21,1,16,51
2024,nba,all_nba,3T,G,Tyrese Haliburton,halibty01,23,75,495,0.152,0,2,69
2024,nba,all_nba,3T,G,Devin Booker,bookede01,27,70,495,0.141,0,7,49
2024,nba,all_nba,ORV,F,Jaylen Brown,brownja02,27,50,495,0.101,0,0,50
2024,nba,all_nba,ORV,G,Tyrese Maxey,maxeyty01,23,16,495,0.032,0,1,13
2024,nba,all_nba,ORV,F,Paul George,georgpa01,33,16,495,0.032,0,0,16
2024,nba,all_nba,ORV,C,Rudy Gobert,goberru01,31,12,495,0.024,0,1,9
2024,nba,all_nba,ORV,C,Victor Wembanyama,wembavi01,20,11,495,0.022,0,2,5
2024,nba,all_nba,ORV,F,Zion Williamson,willizi01,23,11,495,0.022,0,1,8
2024,nba,all_nba,ORV,F,Paolo Banchero,banchpa01,21,10,495,0.02,0,2,4
2024,nba,all_nba,ORV,G,De'Aaron Fox,foxde01,26,9,495,0.018,0,1,6
2024,nba,all_nba,ORV,C,Bam Adebayo,adebaba01,26,7,495,0.014,0,1,4
2024,nba,all_nba,ORV,F,DeMar DeRozan,derozde01,34,1,495,0.002,0,0,1
2023,nba,all_nba,1T,F,Giannis Antetokounmpo,antetgi01,28,500,500,1,100,0,0
