season,lg,type,team_rank,player,position,seas_id,player_id,birth_year,tm,age
2021,NBA,All-Defense,1st,Rudy Gobert,NA,29531,4199,NA,UTA,28
2021,NBA,All-Defense,1st,Ben Simmons,NA,28993,4474,NA,PHI,24
2021,NBA,All-Defense,1st,Draymond Green,NA,29141,4085,NA,GSW,30
2021,NBA,All-Defense,1st,Jrue Holiday,NA,29310,3891,NA,MIL,30
2021,NBA,All-Defense,1st,Giannis Antetokounmpo,NA,29189,4164,NA,MIL,26
2021,NBA,All-Defense,2nd,Bam Adebayo,NA,28989,4472,NA,MIA,23
2021,NBA,All-Defense,2nd,Jimmy Butler,NA,29287,4023,NA,MIA,31
2021,NBA,All-Defense,2nd,Joel Embiid,NA,29290,4417,NA,PHI,26
2021,NBA,All-Defense,2nd,Matisse Thybulle,NA,29406,4760,NA,PHI,23
2021,NBA,All-Defense,2nd,Kawhi Leonard,NA,29326,4032,NA,LAC,29
2021,NBA,All-NBA,1st,Nikola Jokić,C,29458,4352,NA,DEN,25
2021,NBA,All-NBA,1st,Giannis Antetokounmpo,F,29189,4164,NA,MIL,26
2021,NBA,All-NBA,1st,Kawhi Leonard,F,29326,4032,NA,LAC,29
2021,NBA,All-NBA,1st,Stephen Curry,G,29555,3903,NA,GSW,32
2021,NBA,All-NBA,1st,Luka Dončić,G,29381,4654,NA,DAL,21
2021,NBA,All-NBA,2nd,Joel Embiid,C,29290,4417,NA,PHI,26
2021,NBA,All-NBA,2nd,Julius Randle,F,29313,4266,NA,NYK,26
2021,NBA,All-NBA,2nd,LeBron James,F,29373,3463,NA,LAL,36
2021,NBA,All-NBA,2nd,Chris Paul,G,29044,3585,NA,PHO,35
2021,NBA,All-NBA,2nd,Damian Lillard,G,29074,4077,NA,POR,30
2021,NBA,All-NBA,3rd,Rudy Gobert,C,29531,4199,NA,UTA,28
2021,NBA,All-NBA,3rd,Jimmy Butler,F,29287,4023,NA,MIA,31
2021,NBA,All-NBA,3rd,Paul George,F,29488,3969,NA,LAC,30
2021,NBA,All-NBA,3rd,Bradley Beal,G,29006,4072,NA,WAS,27
2021,NBA,All-NBA,3rd,Kyrie Irving,G,29362,4037,NA,BRK,28
2021,NBA,All-Rookie,1st,LaMelo Ball,NA,29368,4859,NA,CHO,19
2021,NBA,All-Rookie,1st,Saddiq Bey,NA,29536,4882,NA,DET,21
2021,NBA,All-Rookie,1st,Anthony Edwards,NA,28974,4808,NA,MIN,19
2021,NBA,All-Rookie,1st,Tyrese Haliburton,NA,29615,4892,NA,SAC,20
2021,NBA,All-Rookie,1st,Jae'Sean Tate,NA,29234,4842,NA,HOU,25
2021,NBA,All-Rookie,2nd,Desmond Bane,NA,29125,4824,NA,MEM,22
2021,NBA,All-Rookie,2nd,Isaac Okoro,NA,29215,4838,NA,CLE,20
2021,NBA,All-Rookie,2nd,Immanuel Quickley,NA,29213,4837,NA,NYK,21
2021,NBA,All-Rookie,2nd,Isaiah Stewart,NA,29221,4840,NA,DET,19
2021,NBA,All-Rookie,2nd,Patrick Williams,NA,29486,4873,NA,CHI,19
2020,NBA,All-Defense,1st,Giannis Antetokounmpo,NA,28509,4164,NA,MIL,25
2020,NBA,All-Defense,1st,Anthony Davis,NA,28325,4066,NA,LAL,26
2020,NBA,All-Defense,1st,Ben Simmons,NA,28338,4474,NA,PHI,23
2020,NBA,All-Defense,1st,Rudy Gobert,NA,28828,4199,NA,UTA,27
2020,NBA,All-Defense,1st,Marcus Smart,NA,28722,4275,NA,BOS,25
2020,NBA,All-Defense,2nd,Kawhi Leonard,NA,28656,4032,NA,LAC,28
2020,NBA,All-Defense,2nd,Brook Lopez,NA,28355,3801,NA,MIL,31
2020,NBA,All-Defense,2nd,Bam Adebayo,NA,28336,4472,NA,MIA,22
2020,NBA,All-Defense,2nd,Patrick Beverley,NA,28794,4124,NA,LAC,31
2020,NBA,All-Defense,2nd,Eric Bledsoe,NA,28485,3934,NA,MIL,30
2020,NBA,All-NBA,1st,Anthony Davis,C,28325,4066,NA,LAL,26
2020,NBA,All-NBA,1st,Giannis Antetokounmpo,F,28509,4164,NA,MIL,25
2020,NBA,All-NBA,1st,LeBron James,F,28699,3463,NA,LAL,35
2020,NBA,All-NBA,1st,James Harden,G,28561,3880,NA,HOU,30
2020,NBA,All-NBA,1st,Luka Dončić,G,28706,4654,NA,DAL,20
2020,NBA,All-NBA,2nd,Nikola Jokić,C,28779,4352,NA,DEN,24
2020,NBA,All-NBA,2nd,Kawhi Leonard,F,28656,4032,NA,LAC,28
2020,NBA,All-NBA,2nd,Pascal Siakam,F,28792,4437,NA,TOR,25
2020,NBA,All-NBA,2nd,Damian Lillard,G,28405,4077,NA,POR,29
2020,NBA,All-NBA,2nd,Chris Paul,G,28386,3585,NA,OKC,34
2020,NBA,All-NBA,3rd,Rudy Gobert,C,28828,4199,NA,UTA,27
2020,NBA,All-NBA,3rd,Jayson Tatum,F,28584,4518,NA,BOS,21
2020,NBA,All-NBA,3rd,Jimmy Butler,F,28600,4023,NA,MIA,30
2020,NBA,All-NBA,3rd,Ben Simmons,G,28338,4474,NA,PHI,23
2020,NBA,All-NBA,3rd,Russell Westbrook,G,28830,3849,NA,HOU,31
2020,NBA,All-Rookie,1st,Ja Morant,NA,28539,4723,NA,MEM,20
2020,NBA,All-Rookie,1st,Kendrick Nunn,NA,28665,4746,NA,MIA,24
2020,NBA,All-Rookie,1st,Brandon Clarke,NA,28348,4693,NA,MEM,23
2020,NBA,All-Rookie,1st,Zion Williamson,NA,28941,4803,NA,NOP,19
2020,NBA,All-Rookie,1st,Eric Paschall,NA,28488,4716,NA,GSW,23
2020,NBA,All-Rookie,2nd,Tyler Herro,NA,28905,4796,NA,MIA,20
2020,NBA,All-Rookie,2nd,Terence Davis,NA,28866,4792,NA,TOR,22
2020,NBA,All-Rookie,2nd,Coby White,NA,28391,4703,NA,CHI,19
2020,NBA,All-Rookie,2nd,P.J. Washington,NA,28791,4778,NA,CHO,21
2020,NBA,All-Rookie,2nd,Rui Hachimura,NA,28829,4784,NA,WAS,21
2019,NBA,All-Defense,1st,Rudy Gobert,NA,28149,4199,NA,UTA,26
2019,NBA,All-Defense,1st,Paul George,NA,28113,3969,NA,OKC,28
2019,NBA,All-Defense,1st,Giannis Antetokounmpo,NA,27811,4164,NA,MIL,24
2019,NBA,All-Defense,1st,Marcus Smart,NA,28033,4275,NA,BOS,24
2019,NBA,All-Defense,1st,Eric Bledsoe,NA,27784,3934,NA,MIL,29
2019,NBA,All-Defense,2nd,Jrue Holiday,NA,27951,3891,NA,NOP,28
2019,NBA,All-Defense,2nd,Klay Thompson,NA,27989,4036,NA,GSW,28
2019,NBA,All-Defense,2nd,Joel Embiid,NA,27921,4417,NA,PHI,24
2019,NBA,All-Defense,2nd,Draymond Green,NA,27762,4085,NA,GSW,28
2019,NBA,All-Defense,2nd,Kawhi Leonard,NA,27968,4032,NA,TOR,27
2019,NBA,All-NBA,1st,Nikola Jokić,C,28087,4352,NA,DEN,23
2019,NBA,All-NBA,1st,Giannis Antetokounmpo,F,27811,4164,NA,MIL,24
2019,NBA,All-NBA,1st,Paul George,F,28113,3969,NA,OKC,28
2019,NBA,All-NBA,1st,James Harden,G,27873,3880,NA,HOU,29
2019,NBA,All-NBA,1st,Stephen Curry,G,28181,3903,NA,GSW,30
2019,NBA,All-NBA,2nd,Joel Embiid,C,27921,4417,NA,PHI,24
2019,NBA,All-NBA,2nd,Kevin Durant,F,27981,3770,NA,GSW,30
2019,NBA,All-NBA,2nd,Kawhi Leonard,F,27968,4032,NA,TOR,27
2019,NBA,All-NBA,2nd,Damian Lillard,G,27701,4077,NA,POR,28
2019,NBA,All-NBA,2nd,Kyrie Irving,G,28001,4037,NA,BOS,26
2019,NBA,All-NBA,3rd,Rudy Gobert,C,28149,4199,NA,UTA,26
2019,NBA,All-NBA,3rd,LeBron James,F,28011,3463,NA,LAL,34
2019,NBA,All-NBA,3rd,Blake Griffin,F,27634,3920,NA,DET,29
2019,NBA,All-NBA,3rd,Kemba Walker,G,27974,4034,NA,CHO,28
2019,NBA,All-NBA,3rd,Russell Westbrook,G,28150,3849,NA,OKC,30
2019,NBA,All-Rookie,1st,Luka Dončić,NA,28017,4654,NA,DAL,19
2019,NBA,All-Rookie,1st,Trae Young,NA,28222,4676,NA,ATL,20
2019,NBA,All-Rookie,1st,Deandre Ayton,NA,27722,4603,NA,PHO,20
2019,NBA,All-Rookie,1st,Jaren Jackson Jr.,NA,27884,4632,NA,MEM,19
2019,NBA,All-Rookie,1st,Marvin Bagley III,NA,28043,4656,NA,SAC,19
2019,NBA,All-Rookie,2nd,Shai Gilgeous-Alexander,NA,28165,4670,NA,LAC,20
2019,NBA,All-Rookie,2nd,Collin Sexton,NA,27686,4599,NA,CLE,20
2019,NBA,All-Rookie,2nd,Mitchell Robinson,NA,28072,4661,NA,NYK,20
2019,NBA,All-Rookie,2nd,Kevin Huerter,NA,27982,4648,NA,ATL,20
2019,NBA,All-Rookie,2nd,Landry Shamet,NA,28005,4652,NA,TOT,21
2018,NBA,All-Defense,1st,Rudy Gobert,NA,27469,4199,NA,UTA,25
2018,NBA,All-Defense,1st,Anthony Davis,NA,26949,4066,NA,NOP,24
2018,NBA,All-Defense,1st,Victor Oladipo,NA,27556,4217,NA,IND,25
2018,NBA,All-Defense,1st,Robert Covington,NA,27458,4197,NA,PHI,27
2018,NBA,All-Defense,1st,Jrue Holiday,NA,27272,3891,NA,NOP,27
2018,NBA,All-Defense,2nd,Joel Embiid,NA,27243,4417,NA,PHI,23
2018,NBA,All-Defense,2nd,Draymond Green,NA,27094,4085,NA,GSW,27
2018,NBA,All-Defense,2nd,Al Horford,NA,26926,3734,NA,BOS,31
2018,NBA,All-Defense,2nd,Dejounte Murray,NA,27056,4394,NA,SAS,21
