season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x3p_per_100_poss,opp_x3pa_per_100_poss,opp_x3p_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2025,NBA,Atlanta Hawks,ATL,TRUE,82,19780,42.1,87.5,0.481,13.8,36.6,0.377,28.3,50.8,0.557,17.6,22,0.802,10,32.3,42.3,27.4,8.9,4.8,15.5,18.5,115.7
2025,NBA,Boston Celtics,BOS,TRUE,82,19830,41.8,92.7,0.45,13.3,38.5,0.347,28.4,54.2,0.524,14.3,18.3,0.777,11.1,34.2,45.3,24.9,7.2,3.7,13.3,18.2,111.1
2025,NBA,Brooklyn Nets,BRK,FALSE,82,19780,41.7,86.9,0.48,13.3,36.8,0.362,28.4,50.1,0.567,19,24.4,0.779,10.4,34.7,45.1,27.9,8.3,5.8,15.5,19.5,115.8
2025,NBA,Chicago Bulls,CHI,TRUE,82,19755,43,92,0.467,13.2,38.4,0.344,29.8,53.6,0.556,16.4,20.8,0.786,10.6,34,44.6,28,7.8,4.9,12.2,16.2,115.6
2025,NBA,Charlotte Hornets,CHO,FALSE,82,19755,42.4,90.8,0.467,14.5,40.8,0.355,28,50,0.559,17.2,21.8,0.79,11.5,34.6,46.2,27.3,8.9,5.4,13.6,18.5,116.6
2025,NBA,Cleveland Cavaliers,CLE,TRUE,82,19755,41.2,90.7,0.454,13.4,37.4,0.359,27.7,53.3,0.52,16.4,21.1,0.779,11.5,31.9,43.5,25.6,7.8,4.4,14.5,18.9,112.2
2025,NBA,Dallas Mavericks,DAL,TRUE,82,19730,43.3,92.2,0.469,12.9,35.6,0.363,30.4,56.6,0.537,16.5,21.2,0.779,12.2,33.3,45.5,27.2,8.1,4.6,13.3,18.8,116
2025,NBA,Denver Nuggets,DEN,TRUE,82,19855,43,92.4,0.466,14,38.4,0.365,29,54,0.538,16,20.6,0.777,11.7,30.5,42.2,28.8,8.7,5.1,12.9,18.9,116
2025,NBA,Detroit Pistons,DET,TRUE,82,19805,40.4,87.5,0.461,13.6,37.1,0.366,26.8,50.5,0.531,18.7,24.1,0.776,10.5,31.8,42.3,24.7,8.8,5,15,18.8,113.1
2025,NBA,Golden State Warriors,GSW,TRUE,82,19730,40.9,87.8,0.465,13.3,36.7,0.363,27.6,51.2,0.539,16.6,21.6,0.769,10.7,33.8,44.5,26.1,7.7,5.4,15.9,18.8,111.7
