season,lg,team,abbreviation,playoffs,g,mp_per_game,opp_fg_per_game,opp_fga_per_game,opp_fg_percent,opp_x3p_per_game,opp_x3pa_per_game,opp_x3p_percent,opp_x2p_per_game,opp_x2pa_per_game,opp_x2p_percent,opp_ft_per_game,opp_fta_per_game,opp_ft_percent,opp_orb_per_game,opp_drb_per_game,opp_trb_per_game,opp_ast_per_game,opp_stl_per_game,opp_blk_per_game,opp_tov_per_game,opp_pf_per_game,opp_pts_per_game
2025,NBA,Atlanta Hawks,ATL,TRUE,82,241.2,43.4,90.2,0.481,14.3,37.8,0.377,29.2,52.4,0.557,18.2,22.7,0.802,10.3,33.4,43.7,28.2,9.2,4.9,16,19.1,119.3
2025,NBA,Boston Celtics,BOS,TRUE,82,241.8,40.3,89.4,0.45,12.9,37.1,0.347,27.4,52.3,0.524,13.8,17.7,0.777,10.7,33,43.7,24,6.9,3.6,12.8,17.5,107.2
2025,NBA,Brooklyn Nets,BRK,FALSE,82,241.2,40.5,84.3,0.48,12.9,35.7,0.362,27.5,48.5,0.567,18.4,23.6,0.779,10.1,33.6,43.7,27.1,8,5.6,15,18.9,112.2
2025,NBA,Chicago Bulls,CHI,TRUE,82,240.9,44.4,95,0.467,13.6,39.6,0.344,30.8,55.4,0.556,16.9,21.5,0.786,11,35.1,46.1,28.9,8.1,5.1,12.6,16.8,119.4
2025,NBA,Charlotte Hornets,CHO,FALSE,82,240.9,41.6,88.9,0.467,14.2,40,0.355,27.4,49,0.559,16.9,21.4,0.79,11.3,33.9,45.2,26.8,8.8,5.3,13.3,18.1,114.2
2025,NBA,Cleveland Cavaliers,CLE,TRUE,82,240.9,41.2,90.9,0.454,13.5,37.5,0.359,27.8,53.4,0.52,16.5,21.1,0.779,11.5,32,43.5,25.6,7.8,4.4,14.5,18.9,112.4
2025,NBA,Dallas Mavericks,DAL,TRUE,82,240.6,43.1,91.7,0.469,12.9,35.4,0.363,30.2,56.3,0.537,16.4,21.1,0.779,12.1,33.2,45.3,27.1,8.1,4.6,13.2,18.7,115.4
2025,NBA,Denver Nuggets,DEN,TRUE,82,242.1,43.3,93,0.466,14.1,38.7,0.365,29.2,54.4,0.538,16.1,20.7,0.777,11.7,30.7,42.5,29,8.7,5.1,13,19,116.9
2025,NBA,Detroit Pistons,DET,TRUE,82,241.5,40.6,87.9,0.461,13.6,37.2,0.366,26.9,50.7,0.531,18.8,24.3,0.776,10.5,31.9,42.5,24.8,8.9,5,15.1,18.9,113.6
2025,NBA,Golden State Warriors,GSW,TRUE,82,240.6,40.4,86.9,0.465,13.2,36.3,0.363,27.3,50.6,0.539,16.4,21.4,0.769,10.6,33.5,44.1,25.9,7.6,5.4,15.7,18.6,110.5
2025,NBA,Houston Rockets,HOU,TRUE,82,241.2,40.5,88.3,0.459,12.3,34.5,0.357,28.2,53.8,0.524,16.4,21.7,0.759,10.6,31.6,42.1,23.5,7.9,5.7,14.3,19.2,109.8
2025,NBA,Indiana Pacers,IND,TRUE,82,242.1,42.6,89.9,0.474,12.9,36.3,0.355,29.7,53.6,0.554,17,22,0.773,11.2,33.8,45,26,7.2,4.5,15,18.8,115.1
2025,NBA,Los Angeles Clippers,LAC,TRUE,82,241.5,39.5,85.8,0.461,13,37,0.35,26.5,48.7,0.545,16.2,21,0.772,9.7,31.8,41.5,25.7,8.8,4.3,15,17.8,108.2
2025,NBA,Los Angeles Lakers,LAL,TRUE,82,240.6,41.4,89.3,0.463,13.6,38.1,0.356,27.8,51.2,0.544,15.9,20.5,0.775,11.2,31.8,43,27.3,8.2,4.2,13.7,19.2,112.2
2025,NBA,Memphis Grizzlies,MEM,TRUE,82,240.3,41.9,91.8,0.456,14.2,39.4,0.36,27.7,52.4,0.529,18.9,24.5,0.77,11.5,32,43.5,27,8.7,5.5,15.1,20.2,116.9
2025,NBA,Miami Heat,MIA,TRUE,82,243,41.3,88.6,0.466,13.6,37.9,0.36,27.6,50.6,0.545,13.9,17.9,0.776,10.7,33.9,44.7,26.5,7.5,4.7,13.8,17,110
2025,NBA,Milwaukee Bucks,MIL,TRUE,82,240.9,41.6,91.1,0.457,13.9,39.4,0.353,27.7,51.7,0.536,15.9,20.3,0.783,11,34.3,45.3,26.4,7.3,3.8,12.9,18.9,113
