season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2025,NBA,Atlanta Hawks,ATL,TRUE,82,19780,3562,7398,0.481,1169,3098,0.377,2393,4300,0.557,1491,1858,0.802,845,2735,3580,2315,755,403,1315,1563,9784
2025,NBA,Boston Celtics,BOS,TRUE,82,19830,3302,7331,0.45,1055,3041,0.347,2247,4290,0.524,1128,1451,0.777,878,2704,3582,1968,567,295,1048,1438,8787
2025,NBA,Brooklyn Nets,BRK,FALSE,82,19780,3317,6909,0.48,1059,2928,0.362,2258,3981,0.567,1509,1936,0.779,829,2754,3583,2219,660,457,1228,1550,9202
2025,NBA,Chicago Bulls,CHI,TRUE,82,19755,3642,7791,0.467,1118,3250,0.344,2524,4541,0.556,1386,1764,0.786,899,2878,3777,2370,663,417,1032,1374,9788
2025,NBA,Charlotte Hornets,CHO,FALSE,82,19755,3409,7293,0.467,1163,3277,0.355,2246,4016,0.559,1384,1752,0.79,927,2783,3710,2196,718,435,1089,1488,9365
2025,NBA,Cleveland Cavaliers,CLE,TRUE,82,19755,3382,7454,0.454,1104,3075,0.359,2278,4379,0.52,1349,1732,0.779,947,2624,3571,2101,641,361,1189,1553,9217
2025,NBA,Dallas Mavericks,DAL,TRUE,82,19730,3531,7521,0.469,1054,2905,0.363,2477,4616,0.537,1346,1728,0.779,996,2719,3715,2220,664,375,1086,1532,9462
2025,NBA,Denver Nuggets,DEN,TRUE,82,19855,3554,7629,0.466,1156,3170,0.365,2398,4459,0.538,1319,1697,0.777,963,2518,3481,2379,717,420,1062,1562,9583
2025,NBA,Detroit Pistons,DET,TRUE,82,19805,3326,7210,0.461,1119,3054,0.366,2207,4156,0.531,1544,1989,0.776,863,2618,3481,2035,728,413,1235,1551,9315
2025,NBA,Golden State Warriors,GSW,TRUE,82,19730,3316,7126,0.465,1080,2976,0.363,2236,4150,0.539,1348,1752,0.769,869,2744,3613,2120,621,441,1291,1523,9060
2025,NBA,Houston Rockets,HOU,TRUE,82,19780,3322,7244,0.459,1010,2833,0.357,2312,4411,0.524,1348,1776,0.759,867,2589,3456,1926,651,467,1175,1577,9002
2025,NBA,Indiana Pacers,IND,TRUE,82,19855,3493,7372,0.474,1058,2978,0.355,2435,4394,0.554,1397,1807,0.773,918,2775,3693,2131,588,366,1230,1541,9441
2025,NBA,Los Angeles Clippers,LAC,TRUE,82,19805,3240,7032,0.461,1064,3038,0.35,2176,3994,0.545,1330,1723,0.772,798,2605,3403,2105,723,352,1233,1458,8874
2025,NBA,Los Angeles Lakers,LAL,TRUE,82,19730,3392,7319,0.463,1112,3124,0.356,2280,4195,0.544,1302,1680,0.775,919,2609,3528,2236,673,344,1121,1576,9198
2025,NBA,Memphis Grizzlies,MEM,TRUE,82,19705,3435,7529,0.456,1162,3230,0.36,2273,4299,0.529,1550,2013,0.77,945,2625,3570,2217,710,450,1242,1653,9582
2025,NBA,Miami Heat,MIA,TRUE,82,19930,3383,7262,0.466,1118,3109,0.36,2265,4153,0.545,1139,1468,0.776,880,2783,3663,2176,618,382,1133,1390,9023
2025,NBA,Milwaukee Bucks,MIL,TRUE,82,19755,3414,7473,0.457,1140,3232,0.353,2274,4241,0.536,1301,1661,0.783,900,2812,3712,2166,602,315,1055,1552,9269
2025,NBA,Minnesota Timberwolves,MIN,TRUE,82,19830,3319,7213,0.46,1040,2949,0.353,2279,4264,0.534,1284,1674,0.767,906,2611,3517,2032,687,368,1205,1571,8962
2025,NBA,New Orleans Pelicans,NOP,FALSE,82,19755,3585,7419,0.483,1199,3289,0.365,2386,4130,0.578,1410,1794,0.786,972,2778,3750,2349,739,428,1148,1471,9779
2025,NBA,New York Knicks,NYK,TRUE,82,19880,3411,7192,0.474,1072,2924,0.367,2339,4268,0.548,1264,1603,0.789,893,2538,3431,2069,575,406,1189,1554,9158
2025,NBA,Oklahoma City Thunder,OKC,TRUE,82,19705,3109,7130,0.436,1104,3225,0.342,2005,3905,0.513,1504,1942,0.774,952,2727,3679,2018,549,392,1396,1485,8826
2025,NBA,Orlando Magic,ORL,TRUE,82,19730,3125,6680,0.468,938,2571,0.365,2187,4109,0.532,1467,1916,0.766,751,2703,3454,1870,635,361,1329,1666,8655
2025,NBA,Philadelphia 76ers,PHI,FALSE,82,19805,3475,7118,0.488,1167,3084,0.378,2308,4034,0.572,1382,1741,0.794,946,2787,3733,2317,610,420,1311,1530,9499
2025,NBA,Phoenix Suns,PHO,FALSE,82,19830,3493,7386,0.473,1163,3145,0.37,2330,4241,0.549,1414,1790,0.79,945,2678,3623,2235,696,329,1001,1509,9563
2025,NBA,Portland Trail Blazers,POR,FALSE,82,19780,3410,7238,0.471,1042,2884,0.361,2368,4354,0.544,1475,1846,0.799,978,2650,3628,2147,781,453,1271,1582,9337
2025,NBA,Sacramento Kings,SAC,TRUE,82,19880,3409,7196,0.474,1193,3131,0.381,2216,4065,0.545,1440,1838,0.783,819,2653,3472,2212,649,350,1140,1516,9451
2025,NBA,San Antonio Spurs,SAS,FALSE,82,19730,3595,7587,0.474,1177,3226,0.365,2418,4361,0.554,1201,1520,0.79,992,2794,3786,2296,664,356,1121,1428,9568
2025,NBA,Toronto Raptors,TOR,FALSE,82,19805,3377,7242,0.466,1079,3093,0.349,2298,4149,0.554,1610,2070,0.778,940,2750,3690,2124,752,484,1238,1484,9443
2025,NBA,Utah Jazz,UTA,FALSE,82,19805,3655,7622,0.48,1219,3403,0.358,2436,4219,0.577,1412,1850,0.763,957,2670,3627,2429,802,527,968,1580,9941
2025,NBA,Washington Wizards,WAS,FALSE,82,19730,3583,7611,0.471,1170,3213,0.364,2413,4398,0.549,1540,1941,0.793,1059,2949,4008,2334,746,428,1093,1490,9876
2025,NBA,League Average,NA,FALSE,82,19787,3419,7318,0.467,1110,3082,0.36,2309,4236,0.545,1386,1777,0.78,912,2705,3617,2177,673,400,1172,1525,9334
2024,NBA,Atlanta Hawks,ATL,FALSE,82,19855,3659,7394,0.495,1147,2987,0.384,2512,4407,0.57,1417,1790,0.792,870,2758,3628,2314,638,461,1158,1594,9882
2024,NBA,Boston Celtics,BOS,TRUE,82,19830,3403,7515,0.453,1059,3008,0.352,2344,4507,0.52,1092,1422,0.768,907,2645,3552,2042,510,304,986,1416,8957
2024,NBA,Brooklyn Nets,BRK,FALSE,82,19805,3410,7255,0.47,1066,2865,0.372,2344,4390,0.534,1401,1736,0.807,843,2788,3631,2088,563,409,1035,1496,9287
2024,NBA,Chicago Bulls,CHI,FALSE,82,19980,3370,7131,0.473,1196,3235,0.37,2174,3896,0.558,1388,1789,0.776,829,2729,3558,2287,555,404,1147,1538,9324
2024,NBA,Charlotte Hornets,CHO,FALSE,82,19730,3555,7191,0.494,1118,2965,0.377,2437,4226,0.577,1352,1699,0.796,867,2853,3720,2356,582,396,1117,1432,9580
2024,NBA,Cleveland Cavaliers,CLE,TRUE,82,19805,3323,7176,0.463,1029,2773,0.371,2294,4403,0.521,1363,1724,0.791,823,2676,3499,2071,632,411,1115,1536,9038
