season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
2025,NBA,Precious Achiuwa,achiupr01,25,NYK,C,57,10,1170,7,13.9,0.502,0.4,1.5,0.278,6.5,12.3,0.529,0.517,1.7,2.9,0.594,4.3,9.2,13.4,2.3,2,1.8,1.9,3.4,16.1,112,111
2025,NBA,Steven Adams,adamsst01,31,HOU,C,58,3,794,5.6,10.2,0.545,0,0.1,0,5.6,10.1,0.552,0.545,2.6,5.7,0.462,10.2,9.9,20,4,1.3,1.7,3.3,3.7,13.8,118,109
2025,NBA,Bam Adebayo,adebaba01,27,MIA,C,78,78,2674,10.1,20.8,0.485,1.5,4.1,0.357,8.6,16.6,0.517,0.521,4.7,6.1,0.765,3.5,10.5,14,6.3,1.8,1,3,3,26.3,115,110
2025,NBA,Ochai Agbaji,agbajoc01,24,TOR,SG,64,45,1739,7.4,14.8,0.498,2.8,7,0.399,4.6,7.8,0.587,0.593,0.9,1.3,0.708,1.7,5,6.7,2.7,1.6,0.8,1.5,3.5,18.5,117,116
2025,NBA,Santi Aldama,aldamsa01,24,MEM,PF,65,16,1660,8.8,18.1,0.483,3.4,9.1,0.368,5.4,9,0.599,0.576,1.8,2.6,0.691,2.6,9,11.6,5.3,1.5,0.8,2,2.1,22.7,123,113
2025,NBA,Nickeil Alexander-Walker,alexani01,26,MIN,SG,82,10,2073,6.4,14.7,0.438,3.4,8.8,0.381,3.1,5.9,0.524,0.553,2.2,2.8,0.78,1.3,5,6.3,5.3,1.2,0.8,2.4,3.3,18.4,116,114
2025,NBA,Trey Alexander,alexatr01,21,DEN,SG,24,0,117,5.3,16.9,0.317,1.2,7,0.176,4.1,9.9,0.417,0.354,1.2,1.6,0.75,0.4,4.5,4.9,4.5,0.8,0.4,2.1,4.1,13.2,84,120
2025,NBA,Grayson Allen,allengr01,29,PHO,SG,64,7,1544,7,15.7,0.448,4.8,11.2,0.426,2.2,4.5,0.504,0.6,3,3.7,0.816,1.1,5.1,6.2,4.4,1.7,0.6,2.4,3,21.8,119,120
2025,NBA,Jarrett Allen,allenja01,26,CLE,C,82,82,2296,9.5,13.4,0.706,0,0.1,0,9.5,13.3,0.712,0.706,4.2,5.8,0.718,4.5,12.2,16.7,3.3,1.6,1.5,2,2.7,23.1,142,108
2025,NBA,Jose Alvarado,alvarjo01,26,NOP,PG,56,23,1366,7.2,18.5,0.392,3.9,11,0.359,3.3,7.5,0.439,0.498,2.1,2.6,0.811,1,3.9,4.8,9.2,2.6,0.5,3,3.2,20.5,110,120
2025,NBA,Kyle Anderson,anderky01,31,2TM,PF,61,4,1002,7,14.9,0.469,1.2,3.4,0.357,5.7,11.4,0.502,0.51,2.4,3.2,0.738,2.6,7.5,10.1,7.1,2,1.6,1.8,4,17.5,119,111
2025,NBA,Kyle Anderson,anderky01,31,GSW,PF,36,3,541,6.8,15.2,0.45,1.7,4.7,0.365,5.1,10.5,0.487,0.506,1.6,2.4,0.667,2.4,7.5,9.9,7.3,2.3,1.8,1.8,3.6,17,118,109
2025,NBA,Kyle Anderson,anderky01,31,MIA,SF,25,1,461,7.1,14.5,0.493,0.6,1.9,0.333,6.5,12.6,0.517,0.515,3.2,4.1,0.789,2.8,7.6,10.4,6.9,1.5,1.4,1.8,4.4,18.2,122,112
2025,NBA,Giannis Antetokounmpo,antetgi01,30,MIL,PF,67,67,2289,16.8,27.9,0.601,0.3,1.3,0.222,16.5,26.5,0.62,0.607,9.2,14.9,0.617,3.1,13.8,16.9,9.1,1.2,1.6,4.4,3.3,43,122,109
2025,NBA,Cole Anthony,anthoco01,24,ORL,PG,67,22,1234,9.3,22,0.424,3.1,8.8,0.353,6.2,13.2,0.471,0.494,3.8,4.6,0.823,1.9,6.4,8.3,7.7,1.8,1.3,4.2,6.1,25.5,106,110
2025,NBA,OG Anunoby,anunoog01,27,NYK,PF,74,74,2706,9,18.8,0.476,3.1,8.4,0.372,5.8,10.4,0.561,0.559,3.4,4.1,0.81,1.8,4.8,6.6,3,2,1.2,1.9,3.2,24.4,118,114
2025,NBA,Armel Traoré,armeltr01,22,LAL,SF,9,0,67,4.4,13.9,0.316,0,5.1,0,4.4,8.8,0.5,0.316,1.5,5.1,0.286,1.5,9.5,11,0.7,2.9,1.5,2.2,4.4,10.3,65,109
2025,NBA,Deni Avdija,avdijde01,24,POR,SF,72,54,2161,9,19,0.476,2.8,7.7,0.365,6.2,11.3,0.552,0.55,6.5,8.4,0.78,2.5,9.3,11.7,6.3,1.6,0.8,4.4,3.8,27.4,116,113
2025,NBA,Deandre Ayton,aytonde01,26,POR,C,40,40,1206,10.7,18.9,0.566,0.2,1.3,0.188,10.4,17.6,0.594,0.573,1.6,2.4,0.667,5,11.4,16.4,2.6,1.2,1.6,2.8,3.5,23.2,115,112
2025,NBA,Marvin Bagley III,baglema01,25,2TM,PF,31,2,265,9.8,18.9,0.519,0.5,3.4,0.158,9.3,15.5,0.598,0.533,4.1,6.2,0.657,6.8,8.2,14.9,2,1.6,1.4,2.1,3.2,24.2,117,115
2025,NBA,Marvin Bagley III,baglema01,25,WAS,C,19,1,166,10.9,20.3,0.535,0.6,2.9,0.2,10.3,17.5,0.59,0.549,4.3,6.6,0.652,7.7,8.3,16,2,2,1.4,3.2,3.4,26.7,113,116
2025,NBA,Marvin Bagley III,baglema01,25,MEM,PF,12,1,99,8,16.4,0.486,0.5,4.2,0.111,7.5,12.2,0.615,0.5,3.8,5.6,0.667,5.2,8,13.1,1.9,0.9,1.4,0.5,2.8,20.2,125,114
2025,NBA,Marcus Bagley,baglema02,23,PHI,SF,10,4,253,5.3,13.4,0.391,1,6.2,0.156,4.3,7.2,0.595,0.428,1.6,1.9,0.8,4.5,9.2,13.6,1.9,1.8,2.3,1.4,3.1,13.1,105,115
2025,NBA,Patrick Baldwin Jr.,baldwpa01,22,2TM,SF,24,0,107,8.5,15.6,0.543,5.8,10.2,0.565,2.7,5.3,0.5,0.729,0.9,1.8,0.5,2.2,8.9,11.1,1.3,1.3,0.9,2.2,3.1,23.6,122,118
2025,NBA,Patrick Baldwin Jr.,baldwpa01,22,WAS,SF,22,0,101,8,15.5,0.515,5.2,9.9,0.524,2.8,5.7,0.5,0.682,0.9,1.9,0.5,2.4,8,10.4,0.9,1.4,0.9,2.4,2.4,22.1,116,119
2025,NBA,Patrick Baldwin Jr.,baldwpa01,22,LAC,SF,2,0,6,16.4,16.4,1,16.4,16.4,1,0,0,NA,1.5,0,0,NA,0,24.6,24.6,8.2,0,0,0,16.4,49.2,285,105
2025,NBA,LaMelo Ball,ballla01,23,CHO,PG,47,47,1505,13.3,32.8,0.405,5.8,17.3,0.339,7.4,15.5,0.478,0.494,6.3,7.5,0.843,1.5,6,7.6,11.3,1.8,0.4,5.5,5.1,38.7,108,117
2025,NBA,Lonzo Ball,balllo01,27,CHI,PG,35,14,777,5.3,14.6,0.366,4,11.7,0.344,1.3,2.9,0.458,0.504,1.3,1.6,0.815,1.5,5.6,7.1,6.9,2.8,1,2.5,3.3,16,110,113
2025,NBA,Mo Bamba,bambamo01,26,2TM,C,32,2,413,6.2,13.3,0.464,1.8,6.4,0.278,4.4,6.9,0.638,0.531,2.3,3.2,0.704,3.8,13.4,17.2,2.1,1.1,3.7,2.4,6.7,16.4,111,106
2025,NBA,Mo Bamba,bambamo01,26,LAC,C,28,2,352,6.7,14.4,0.466,2.1,7,0.3,4.6,7.4,0.623,0.539,2.4,3.5,0.68,3.6,13.1,16.8,2.2,1.3,3.9,2.7,6.9,17.9,110,104
2025,NBA,Mo Bamba,bambamo01,26,NOP,C,4,0,61,3.2,7.1,0.444,0,3.2,0,3.2,4,0.8,0.444,1.6,1.6,1,4.8,15.1,19.9,1.6,0,2.4,0.8,5.6,7.9,123,117
