season,award,player,age,tm,first,pts_won,pts_max,share,winner,seas_id,player_id
2022,dpoy,Marcus Smart,27,BOS,37,257,500,0.514,TRUE,30185,4275
2022,dpoy,Mikal Bridges,25,PHO,22,202,500,0.404,FALSE,30207,4658
2022,dpoy,Rudy Gobert,29,UTA,12,136,500,0.272,FALSE,30315,4199
2022,dpoy,Bam Adebayo,24,MIA,13,128,500,0.256,FALSE,29691,4472
2022,dpoy,Jaren Jackson Jr.,22,MEM,10,99,500,0.198,FALSE,29993,4632
2022,dpoy,Giannis Antetokounmpo,27,MIL,5,58,500,0.116,FALSE,29920,4164
2022,dpoy,Robert Williams,24,BOS,1,8,500,0.016,FALSE,30303,4667
2022,dpoy,Jrue Holiday,31,MIL,0,6,500,0.012,FALSE,30063,3891
2022,dpoy,Al Horford,35,BOS,0,3,500,0.006,FALSE,29659,3734
2022,dpoy,Draymond Green,31,GSW,0,2,500,0.004,FALSE,29872,4085
2022,dpoy,Matisse Thybulle,24,PHI,0,1,500,0.002,FALSE,30196,4760
2022,mip,Ja Morant,22,MEM,38,221,500,0.442,TRUE,29961,4723
2022,mip,Dejounte Murray,25,SAS,20,183,500,0.366,FALSE,29830,4394
2022,mip,Darius Garland,22,CLE,11,178,500,0.356,FALSE,29806,4708
2022,mip,Jordan Poole,22,GSW,15,131,500,0.262,FALSE,30046,4737
2022,mip,Desmond Bane,23,MEM,7,74,500,0.148,FALSE,29851,4824
2022,mip,Tyrese Maxey,21,PHI,6,52,500,0.104,FALSE,30421,4893
2022,mip,Miles Bridges,23,CHO,3,38,500,0.076,FALSE,30210,4659
2022,mip,Anfernee Simons,22,POR,0,13,500,0.026,FALSE,29677,4586
2022,mip,Robert Williams,24,BOS,0,4,500,0.008,FALSE,30303,4667
2022,mip,Jaren Jackson Jr.,22,MEM,0,3,500,0.006,FALSE,29993,4632
2022,mip,Jalen Brunson,25,DAL,0,2,500,0.004,FALSE,29971,4630
2022,mip,Max Strus,25,MIA,0,1,500,0.002,FALSE,30201,4763
2022,nba mvp,Nikola Jokić,26,DEN,65,875,1000,0.875,TRUE,30249,4352
2022,nba mvp,Joel Embiid,27,PHI,26,706,1000,0.706,FALSE,30035,4417
2022,nba mvp,Giannis Antetokounmpo,27,MIL,9,595,1000,0.595,FALSE,29920,4164
2022,nba mvp,Devin Booker,25,PHO,0,216,1000,0.216,FALSE,29852,4321
2022,nba mvp,Luka Dončić,22,DAL,0,146,1000,0.146,FALSE,30160,4654
2022,nba mvp,Jayson Tatum,23,BOS,0,43,1000,0.043,FALSE,30012,4518
2022,nba mvp,Ja Morant,22,MEM,0,10,1000,0.01,FALSE,29961,4723
2022,nba mvp,Stephen Curry,33,GSW,0,4,1000,0.004,FALSE,30350,3903
2022,nba mvp,Chris Paul,36,PHO,0,2,1000,0.002,FALSE,29762,3585
2022,nba mvp,DeMar DeRozan,32,CHI,0,1,1000,0.001,FALSE,29832,3872
2022,nba mvp,Kevin Durant,33,BRK,0,1,1000,0.001,FALSE,30112,3770
