player,player_id,pos,ht_in_in,wt,birth_date,colleges,from,to,debut,hof
Hank Biasatti,biasaha01,G,71,175,1922-01-14,Assumption University,1947,1947,1946-11-01T00:00:00Z,FALSE
Tommy Byrnes,byrneto01,F-G,75,175,1923-02-19,Seton Hall,1947,1951,1946-11-01T00:00:00Z,FALSE
Bob Fitzgerald,fitzgbo01,F-C,77,190,1923-03-14,Seton Hall,1947,1949,1946-11-01T00:00:00Z,FALSE
Dick Fitzgerald,fitzgdi01,F,74,175,1920-11-18,Fordham,1947,1948,1946-11-01T00:00:00Z,FALSE
Frank Fucarino,fucarfr01,F,74,175,1920-07-24,Long Island University,1947,1947,1946-11-01T00:00:00Z,FALSE
Leo Gottlieb,gottlle01,G,71,180,1920-11-28,NA,1947,1948,1946-11-01T00:00:00Z,FALSE
Sonny Hertzberg,hertzso01,G,70,175,1922-07-29,City College of New York,1947,1951,1946-11-01T00:00:00Z,FALSE
Charlie Hoefer,hoefech01,G,69,158,1921-09-16,Queens College,1947,1948,1946-11-01T00:00:00Z,FALSE
Roy Hurley,hurlero01,F-G,74,170,1922-08-12,Murray State,1947,1947,1946-11-01T00:00:00Z,FALSE
Ralph Kaplowitz,kaplora01,G-F,74,170,1919-05-18,NYU,1947,1948,1946-11-01T00:00:00Z,FALSE
Mike McCarron,mccarmi01,G,71,180,1922-03-02,Seton Hall,1947,1950,1946-11-01T00:00:00Z,FALSE
Nat Militzok,militna01,F,75,195,1923-05-03,Cornell,1947,1947,1946-11-01T00:00:00Z,FALSE
Harry Miller,milleha01,C-F,76,230,1923-07-28,UNC,1947,1947,1946-11-01T00:00:00Z,FALSE
Bob Mullens,mullebo01,G,73,175,1922-11-01,Fordham,1947,1947,1946-11-01T00:00:00Z,FALSE
Dick Murphy,murphdi01,G,73,175,1921-03-10,Manhattan University,1947,1947,1946-11-01T00:00:00Z,FALSE
George Nostrand,nostrge01,C-F,80,195,1924-01-25,Wyoming,1947,1950,1946-11-01T00:00:00Z,FALSE
Hank Rosenstein,rosenha01,F,76,185,1920-06-16,City College of New York,1947,1947,1946-11-01T00:00:00Z,FALSE
Ed Sadowski,sadowed01,C,77,240,1915-07-11,Seton Hall,1947,1950,1946-11-01T00:00:00Z,FALSE
Ossie Schectman,schecos01,G,72,175,1919-03-30,Long Island University,1947,1947,1946-11-01T00:00:00Z,FALSE
Stan Stutz,stutzst01,G-F,70,170,1920-04-14,Rhode Island,1947,1949,1946-11-01T00:00:00Z,FALSE
Jake Weber,weberja01,C,78,225,1918-03-18,Purdue,1947,1947,1946-11-01T00:00:00Z,FALSE
Ray Wertis,wertira01,G,71,NA,1923-07-30,St. John's,1947,1948,1946-11-01T00:00:00Z,FALSE
John Abramovic,abramjo01,F,75,195,1919-02-09,Salem University,1947,1948,1946-11-02T00:00:00Z,FALSE
Chet Aubuchon,aubucch01,G,70,137,1916-05-18,Michigan State,1947,1947,1946-11-02T00:00:00Z,FALSE
Norm Baker,bakerno01,G,72,180,1923-02-17,NA,1947,1947,1946-11-02T00:00:00Z,FALSE
Herschel Baltimore,baltihe01,F,76,195,1921-06-21,Penn State,1947,1947,1946-11-02T00:00:00Z,FALSE
John Barr,barrjo01,F,75,205,1918-08-18,Penn State,1947,1947,1946-11-02T00:00:00Z,FALSE
Moe Becker,beckemo01,G-F,73,185,1917-02-24,Duquesne,1947,1947,1946-11-02T00:00:00Z,FALSE
Al Brightman,brighal01,F,74,195,1923-09-22,University of Charleston,1947,1947,1946-11-02T00:00:00Z,FALSE
Harold Brown,brownha01,G,72,155,1923-10-02,University of Evansville,1947,1947,1946-11-02T00:00:00Z,FALSE
Michael Bytzura,bytzumi01,F,73,170,1922-06-18,Long Island University,1947,1947,1946-11-02T00:00:00Z,FALSE
