season,seas_id,player_id,player,birth_year,pos,age,lg,tm,experience
1947,1,1,Al Brightman,NA,F,23,BAA,BOS,1
1947,2,2,Al Lujack,NA,F,26,BAA,WSC,1
1947,3,3,Al Negratti,NA,F-C,25,BAA,WSC,1
1947,4,4,Angelo Musi,NA,G,28,BAA,PHW,1
1947,5,5,Ariel Maughan,1923,F,23,BAA,DTF,1
1947,6,6,Armand Cure,NA,F,27,BAA,PRO,1
1947,7,7,Art Hillhouse,NA,C,30,BAA,PHW,1
1947,8,8,Art Spector,1920,F,26,BAA,BOS,1
1947,9,9,Art Stolkey,NA,G,26,BAA,DTF,1
1947,10,10,Aubrey Davis,NA,G-F,25,BAA,STB,1
1947,11,11,Aud Brindley,NA,F,23,BAA,NYK,1
1947,12,12,Belus Smawley,1918,SG,28,BAA,STB,1
1947,13,13,Ben Goldfaden,NA,F,33,BAA,WSC,1
1947,14,14,Ben Scharnus,NA,F,29,BAA,CLR,1
1947,15,15,Bill Davis,NA,F,26,BAA,CHS,1
1947,16,16,Bob Cluggish,NA,C,29,BAA,NYK,1
1947,17,17,Bob Dille,NA,F,29,BAA,DTF,1
1947,18,18,Bob Doll,1919,F-C,27,BAA,STB,1
1947,19,19,Bob Duffy,1922,F,24,BAA,TOT,1
1947,20,19,Bob Duffy,1922,F,24,BAA,CHS,1
1947,21,19,Bob Duffy,1922,F,24,BAA,BOS,1
1947,22,20,Bob Faught,NA,F,25,BAA,CLR,1
1947,23,21,Bob Feerick,1920,F-G,27,BAA,WSC,1
1947,24,22,Bob Fitzgerald,NA,F-C,23,BAA,TOT,1
1947,25,22,Bob Fitzgerald,NA,F-C,23,BAA,TRH,1
1947,26,22,Bob Fitzgerald,NA,F-C,23,BAA,NYK,1
1947,27,23,Bob Gantt,NA,F-C,24,BAA,WSC,1
1947,28,24,Bob Mullens,NA,G,24,BAA,TOT,1
1947,29,24,Bob Mullens,NA,G,24,BAA,NYK,1
1947,30,24,Bob Mullens,NA,G,24,BAA,TRH,1
1947,31,25,Bob Rensberger,NA,F,25,BAA,CHS,1
1947,32,26,Bob Shea,NA,F,22,BAA,PRO,1
1947,33,27,Bones McKinney,1919,SF,28,BAA,WSC,1
1947,34,28,Buck Sydnor,NA,G,25,BAA,CHS,1
1947,35,29,Bud Palmer,NA,F-C,25,BAA,NYK,1
1947,36,30,Buddy O'Grady,NA,G,27,BAA,WSC,1
1947,37,31,Butch van Breda Kolff,1922,G-F,24,BAA,NYK,1
1947,38,32,Cecil Hankins,NA,G,25,BAA,STB,1
1947,39,33,Charlie Hoefer,NA,G,25,BAA,TOT,1
1947,40,33,Charlie Hoefer,NA,G,25,BAA,TRH,1
1947,41,33,Charlie Hoefer,NA,G,25,BAA,BOS,1
1947,42,34,Chet Aubuchon,NA,G,30,BAA,DTF,1
1947,43,35,Chet Carlisle,NA,F-C,30,BAA,CHS,1
1947,44,36,Chick Halbert,1919,C,27,BAA,CHS,1
1947,45,37,Chuck Connors,NA,F-C,25,BAA,BOS,1
1947,46,38,Chuck Gilmur,1922,F-C,24,BAA,CHS,1
1947,47,39,Connie Simmons,1925,C-F,21,BAA,BOS,1
1947,48,40,Coulby Gunther,NA,F,23,BAA,PIT,1
1947,49,41,Deb Smith,NA,F,27,BAA,STB,1
1947,50,42,Dick Fitzgerald,NA,F,26,BAA,TRH,1
1947,51,43,Dick Murphy,NA,G,25,BAA,TOT,1
1947,52,43,Dick Murphy,NA,G,25,BAA,NYK,1
1947,53,43,Dick Murphy,NA,G,25,BAA,BOS,1
1947,54,44,Dick Schulz,1917,F-G,30,BAA,TOT,1
