season,lg,player,player_id,age,team,pos,g,gs,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
2025,NBA,Precious Achiuwa,achiupr01,25,NYK,C,57,10,1170,0.502,6.2,0.89,0.523,0.266,0.098,0.003,0.11,0.529,0.661,0.31,0.438,0,0.278,0.695,1,0.171,52,0.75,0.259,0,0
2025,NBA,Steven Adams,adamsst01,31,HOU,C,58,3,794,0.545,4.1,0.988,0.611,0.311,0.066,0,0.012,0.552,0.608,0.5,0.273,NA,0,0.451,NA,0.138,21,0,NA,2,0
2025,NBA,Bam Adebayo,adebaba01,27,MIA,C,78,78,2674,0.485,11.4,0.801,0.213,0.285,0.247,0.057,0.199,0.517,0.705,0.461,0.436,0.444,0.357,0.605,0.886,0.123,125,0.29,0.453,0,0
2025,NBA,Ochai Agbaji,agbajoc01,24,TOR,SG,64,45,1739,0.498,13.2,0.526,0.365,0.124,0.028,0.009,0.474,0.587,0.672,0.439,0.2,0.4,0.399,0.794,0.96,0.069,33,0.542,0.416,0,0
2025,NBA,Santi Aldama,aldamsa01,24,MEM,PF,65,16,1660,0.483,15.6,0.497,0.208,0.21,0.059,0.02,0.503,0.599,0.763,0.493,0.5,0.308,0.368,0.642,0.967,0.073,46,0.261,0.412,4,0
2025,NBA,Nickeil Alexander-Walker,alexani01,26,MIN,SG,82,10,2073,0.438,17.5,0.399,0.166,0.14,0.063,0.031,0.601,0.524,0.667,0.43,0.359,0.526,0.381,0.612,0.986,0.019,8,0.335,0.468,4,0
2025,NBA,Trey Alexander,alexatr01,21,DEN,SG,24,0,117,0.317,16.8,0.585,0.073,0.195,0.171,0.146,0.415,0.417,0.333,0.375,0.571,0.333,0.176,0.6,1,0,0,0.235,0.5,0,0
2025,NBA,Grayson Allen,allengr01,29,PHO,SG,64,7,1544,0.448,20,0.284,0.102,0.139,0.039,0.004,0.716,0.504,0.68,0.441,0.263,0.5,0.426,0.7,0.966,0.018,8,0.263,0.489,0,0
2025,NBA,Jarrett Allen,allenja01,26,CLE,C,82,82,2296,0.706,3.6,0.992,0.594,0.342,0.05,0.006,0.008,0.712,0.813,0.584,0.469,0,0,0.825,NA,0.272,159,0.4,0,0,0
2025,NBA,Jose Alvarado,alvarjo01,26,NOP,PG,56,23,1366,0.392,17.9,0.407,0.136,0.177,0.081,0.013,0.593,0.439,0.563,0.348,0.452,0.286,0.359,0.376,0.703,0,0,0.207,0.359,1,0
2025,NBA,Kyle Anderson,anderky01,31,2TM,PF,61,4,1002,0.469,10.9,0.769,0.185,0.429,0.102,0.053,0.231,0.502,0.714,0.469,0.355,0.313,0.357,0.496,0.96,0.036,10,0.443,0.452,4,0
2025,NBA,Kyle Anderson,anderky01,31,GSW,PF,36,3,541,0.45,13.2,0.692,0.095,0.45,0.089,0.059,0.308,0.487,0.75,0.5,0.267,0.3,0.365,0.544,0.947,0.059,9,0.423,0.409,3,0
2025,NBA,Kyle Anderson,anderky01,31,MIA,SF,25,1,461,0.493,8.6,0.866,0.299,0.403,0.119,0.045,0.134,0.517,0.7,0.426,0.438,0.333,0.333,0.45,1,0.007,1,0.5,0.556,1,0
