season,lg,team,abbreviation,playoffs
2025,NBA,Atlanta Hawks,ATL,TRUE
2025,NBA,Boston Celtics,BOS,TRUE
2025,NBA,Brooklyn Nets,BRK,FALSE
2025,NBA,Chicago Bulls,CHI,TRUE
2025,NBA,Charlotte Hornets,CHO,FALSE
2025,NBA,Cleveland Cavaliers,CLE,TRUE
2025,NBA,Dallas Mavericks,DAL,TRUE
2025,NBA,Denver Nuggets,DEN,TRUE
2025,NBA,Detroit Pistons,DET,TRUE
2025,NBA,Golden State Warriors,GSW,TRUE
2025,NBA,Houston Rockets,HOU,TRUE
2025,NBA,Indiana Pacers,IND,TRUE
2025,NBA,Los Angeles Clippers,LAC,TRUE
2025,NBA,Los Angeles Lakers,LAL,TRUE
2025,NBA,Memphis Grizzlies,MEM,TRUE
2025,NBA,Miami Heat,MIA,TRUE
2025,NBA,Milwaukee Bucks,MIL,TRUE
2025,NBA,Minnesota Timberwolves,MIN,TRUE
2025,NBA,New Orleans Pelicans,NOP,FALSE
2025,NBA,New York Knicks,NYK,TRUE
2025,NBA,Oklahoma City Thunder,OKC,TRUE
2025,NBA,Orlando Magic,ORL,TRUE
2025,NBA,Philadelphia 76ers,PHI,FALSE
2025,NBA,Phoenix Suns,PHO,FALSE
2025,NBA,Portland Trail Blazers,POR,FALSE
2025,NBA,Sacramento Kings,SAC,TRUE
2025,NBA,San Antonio Spurs,SAS,FALSE
2025,NBA,Toronto Raptors,TOR,FALSE
2025,NBA,Utah Jazz,UTA,FALSE
2025,NBA,Washington Wizards,WAS,FALSE
2024,NBA,Atlanta Hawks,ATL,FALSE
2024,NBA,Boston Celtics,BOS,TRUE
2024,NBA,Brooklyn Nets,BRK,FALSE
2024,NBA,Chicago Bulls,CHI,FALSE
2024,NBA,Charlotte Hornets,CHO,FALSE
2024,NBA,Cleveland Cavaliers,CLE,TRUE
2024,NBA,Dallas Mavericks,DAL,TRUE
2024,NBA,Denver Nuggets,DEN,TRUE
2024,NBA,Detroit Pistons,DET,FALSE
2024,NBA,Golden State Warriors,GSW,FALSE
2024,NBA,Houston Rockets,HOU,FALSE
2024,NBA,Indiana Pacers,IND,TRUE
2024,NBA,Los Angeles Clippers,LAC,TRUE
2024,NBA,Los Angeles Lakers,LAL,TRUE
2024,NBA,Memphis Grizzlies,MEM,FALSE
2024,NBA,Miami Heat,MIA,TRUE
2024,NBA,Milwaukee Bucks,MIL,TRUE
2024,NBA,Minnesota Timberwolves,MIN,TRUE
2024,NBA,New Orleans Pelicans,NOP,TRUE
2024,NBA,New York Knicks,NYK,TRUE
2024,NBA,Oklahoma City Thunder,OKC,TRUE
2024,NBA,Orlando Magic,ORL,TRUE
2024,NBA,Philadelphia 76ers,PHI,TRUE
2024,NBA,Phoenix Suns,PHO,TRUE
2024,NBA,Portland Trail Blazers,POR,FALSE
2024,NBA,Sacramento Kings,SAC,FALSE
2024,NBA,San Antonio Spurs,SAS,FALSE
2024,NBA,Toronto Raptors,TOR,FALSE
2024,NBA,Utah Jazz,UTA,FALSE
2024,NBA,Washington Wizards,WAS,FALSE
2023,NBA,Atlanta Hawks,ATL,TRUE
2023,NBA,Boston Celtics,BOS,TRUE
2023,NBA,Brooklyn Nets,BRK,TRUE
2023,NBA,Chicago Bulls,CHI,FALSE
2023,NBA,Charlotte Hornets,CHO,FALSE
2023,NBA,Cleveland Cavaliers,CLE,TRUE
