season,lg,team,abbreviation,playoffs,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss
2024,NBA,Atlanta Hawks,ATL,FALSE,4,960,43.1,87.8,0.49,11.3,31.3,0.359,31.8,56.5,0.563,21,25.2,0.835,9.3,31.8,41.1,27.4,9.8,3.9,13.2,16.6,118.4
2024,NBA,Boston Celtics,BOS,FALSE,3,720,44.8,92.2,0.485,15.8,44.1,0.359,28.9,48.1,0.601,13.5,17.5,0.769,12.8,38.4,51.1,23.2,8.1,7.7,15.5,20.9,118.8
2024,NBA,Brooklyn Nets,BRK,FALSE,3,720,44.8,86.7,0.517,13.8,34,0.408,31,52.8,0.588,17.1,22.4,0.765,10.9,36.3,47.1,28,4.9,5.9,15.8,20.8,120.7
2024,NBA,Chicago Bulls,CHI,FALSE,4,985,38.4,92.4,0.416,9.2,31.2,0.294,29.2,61.2,0.478,18.6,23,0.806,12.4,29.7,42.1,19.6,9.4,4.7,12.6,18.6,104.6
2024,NBA,Charlotte Hornets,CHO,FALSE,3,720,39.1,85.8,0.456,8.3,30.5,0.271,30.8,55.3,0.557,20.3,25.4,0.8,9.8,31.8,41.6,27.6,8.3,4.8,14.9,21.3,106.7
2024,NBA,Cleveland Cavaliers,CLE,FALSE,4,960,40.6,95,0.427,12.8,39.5,0.325,27.7,55.4,0.5,12.6,17.4,0.725,12.3,33.8,46.1,23.4,7.1,6.5,11.6,18.6,106.5
2024,NBA,Dallas Mavericks,DAL,FALSE,3,720,43,88.5,0.485,17.1,42,0.408,25.9,46.5,0.556,18.4,24.2,0.76,8.7,35.2,43.9,22,4.8,3.9,11.6,16.8,121.5
2024,NBA,Denver Nuggets,DEN,FALSE,4,960,48,89.1,0.538,12.2,32,0.381,35.8,57.1,0.627,9.9,15.2,0.65,8.1,35.8,43.9,31,8.1,7.4,14.5,17.3,118
2024,NBA,Detroit Pistons,DET,FALSE,4,960,41.6,89.9,0.462,12.1,29.7,0.407,29.5,60.2,0.49,16.4,21.2,0.774,14.4,36.8,51.1,29.2,5,7.1,18.9,23.9,111.6
2024,NBA,Golden State Warriors,GSW,FALSE,4,960,42.6,92,0.463,14.3,40.3,0.354,28.3,51.6,0.549,16.3,21.3,0.765,13.5,36.8,50.4,26.6,9.3,5.5,14.8,21.6,115.8
