season,lg,team,abbreviation,playoffs,g,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
2024,NBA,Atlanta Hawks,ATL,FALSE,4,240,44,89.8,0.49,11.5,32,0.359,32.5,57.8,0.563,21.5,25.8,0.835,9.5,32.5,42,28,10,4,13.5,17,121
2024,NBA,Boston Celtics,BOS,FALSE,3,240,44.3,91.3,0.485,15.7,43.7,0.359,28.7,47.7,0.601,13.3,17.3,0.769,12.7,38,50.7,23,8,7.7,15.3,20.7,117.7
2024,NBA,Brooklyn Nets,BRK,FALSE,3,240,45.3,87.7,0.517,14,34.3,0.408,31.3,53.3,0.588,17.3,22.7,0.765,11,36.7,47.7,28.3,5,6,16,21,122
2024,NBA,Chicago Bulls,CHI,FALSE,4,246.3,38.8,93.3,0.416,9.3,31.5,0.294,29.5,61.8,0.478,18.8,23.3,0.806,12.5,30,42.5,19.8,9.5,4.8,12.8,18.8,105.5
2024,NBA,Charlotte Hornets,CHO,FALSE,3,240,41,90,0.456,8.7,32,0.271,32.3,58,0.557,21.3,26.7,0.8,10.3,33.3,43.7,29,8.7,5,15.7,22.3,112
2024,NBA,Cleveland Cavaliers,CLE,FALSE,4,240,40.3,94.3,0.427,12.8,39.3,0.325,27.5,55,0.5,12.5,17.3,0.725,12.3,33.5,45.8,23.3,7,6.5,11.5,18.5,105.8
2024,NBA,Dallas Mavericks,DAL,FALSE,3,240,44.3,91.3,0.485,17.7,43.3,0.408,26.7,48,0.556,19,25,0.76,9,36.3,45.3,22.7,5,4,12,17.3,125.3
2024,NBA,Denver Nuggets,DEN,FALSE,4,240,47.3,87.8,0.538,12,31.5,0.381,35.3,56.3,0.627,9.8,15,0.65,8,35.3,43.3,30.5,8,7.3,14.3,17,116.3
2024,NBA,Detroit Pistons,DET,FALSE,4,240,41.3,89.3,0.462,12,29.5,0.407,29.3,59.8,0.49,16.3,21,0.774,14.3,36.5,50.8,29,5,7,18.8,23.8,110.8
2024,NBA,Golden State Warriors,GSW,FALSE,4,240,42.5,91.8,0.463,14.3,40.3,0.354,28.3,51.5,0.549,16.3,21.3,0.765,13.5,36.8,50.3,26.5,9.3,5.5,14.8,21.5,115.5
2024,NBA,Houston Rockets,HOU,FALSE,3,248.3,39.3,89.7,0.439,9.7,33,0.293,29.7,56.7,0.524,12.7,18.3,0.691,9.3,29.3,38.7,23.7,6.7,3,14.7,23.3,101
2024,NBA,Indiana Pacers,IND,FALSE,3,240,46.7,97.7,0.478,15.7,42.3,0.37,31,55.3,0.56,15.3,18,0.852,10.7,38,48.7,33.3,6.7,5.7,12.3,22.3,124.3
